Concept,Attributes,Group
Sex by Age,"B01001_001EA,  B01001_001M,  B01001_001MA",B01001
Sex by Age (White Alone),"B01001A_001EA,  B01001A_001M,  B01001A_001MA",B01001A
Sex by Age (Black or African American Alone),"B01001B_001EA,  B01001B_001M,  B01001B_001MA",B01001B
Sex by Age (American Indian and Alaska Native Alone),"B01001C_001EA,  B01001C_001M,  B01001C_001MA",B01001C
Sex by Age (Asian Alone),"B01001D_001EA,  B01001D_001M,  B01001D_001MA",B01001D
Sex by Age (Native Hawaiian and Other Pacific Islander Alone),"B01001E_001EA,  B01001E_001M,  B01001E_001MA",B01001E
Sex by Age (Some Other Race Alone),"B01001F_001EA,  B01001F_001M,  B01001F_001MA",B01001F
Sex by Age (Two or More Races),"B01001G_001EA,  B01001G_001M,  B01001G_001MA",B01001G
"Sex by Age (White Alone, Not Hispanic or Latino)","B01001H_001EA,  B01001H_001M,  B01001H_001MA",B01001H
Sex by Age (Hispanic or Latino),"B01001I_001EA,  B01001I_001M,  B01001I_001MA",B01001I
Median Age by Sex,"B01002_001EA,  B01002_001M,  B01002_001MA",B01002
Median Age by Sex (White Alone),"B01002A_001EA,  B01002A_001M,  B01002A_001MA",B01002A
Median Age by Sex (Black or African American Alone),"B01002B_001EA,  B01002B_001M,  B01002B_001MA",B01002B
Median Age by Sex (American Indian and Alaska Native Alone),"B01002C_001EA,  B01002C_001M,  B01002C_001MA",B01002C
Median Age by Sex (Asian Alone),"B01002D_001EA,  B01002D_001M,  B01002D_001MA",B01002D
Median Age by Sex (Native Hawaiian and Other Pacific Islander Alone),"B01002E_001EA,  B01002E_001M,  B01002E_001MA",B01002E
Median Age by Sex (Some Other Race Alone),"B01002F_001EA,  B01002F_001M,  B01002F_001MA",B01002F
Median Age by Sex (Two or More Races),"B01002G_001EA,  B01002G_001M,  B01002G_001MA",B01002G
"Median Age by Sex (White Alone, Not Hispanic or Latino)","B01002H_001EA,  B01002H_001M,  B01002H_001MA",B01002H
Median Age by Sex (Hispanic or Latino),"B01002I_001EA,  B01002I_001M,  B01002I_001MA",B01002I
Total Population,"B01003_001EA,  B01003_001M,  B01003_001MA",B01003
Race,"B02001_001EA,  B02001_001M,  B02001_001MA",B02001
White Alone or in Combination With One or More Other Races,"B02008_001EA,  B02008_001M,  B02008_001MA",B02008
Black or African American Alone or in Combination With One or More Other Races,"B02009_001EA,  B02009_001M,  B02009_001MA",B02009
American Indian and Alaska Native Alone or in Combination With One or More Other Races,"B02010_001EA,  B02010_001M,  B02010_001MA",B02010
Asian Alone or in Combination With One or More Other Races,"B02011_001EA,  B02011_001M,  B02011_001MA",B02011
Native Hawaiian and Other Pacific Islander Alone or in Combination With One or More Other Races,"B02012_001EA,  B02012_001M,  B02012_001MA",B02012
Some Other Race Alone or in Combination With One or More Other Races,"B02013_001EA,  B02013_001M,  B02013_001MA",B02013
American Indian and Alaska Native Alone for Selected Tribal Groupings,"B02014_001EA,  B02014_001M,  B02014_001MA",B02014
Asian Alone by Selected Groups,"B02015_001EA,  B02015_001M,  B02015_001MA",B02015
Native Hawaiian and Other Pacific Islander Alone by Selected Groups,"B02016_001EA,  B02016_001M,  B02016_001MA",B02016
American Indian and Alaska Native Alone or in Any Combination by Selected Tribal Groupings,"B02017_001EA,  B02017_001M,  B02017_001MA",B02017
Asian Alone or in Any Combination by Selected Groups,"B02018_001EA,  B02018_001M,  B02018_001MA",B02018
Native Hawaiian and Other Pacific Islander Alone or in Any Combination by Selected Groups,"B02019_001EA,  B02019_001M,  B02019_001MA",B02019
Hispanic or Latino Origin by Specific Origin,"B03001_001EA,  B03001_001M,  B03001_001MA",B03001
Hispanic or Latino Origin by Race,"B03002_001EA,  B03002_001M,  B03002_001MA",B03002
Hispanic or Latino Origin,"B03003_001EA,  B03003_001M,  B03003_001MA",B03003
People Reporting Single Ancestry,"B04004_001EA,  B04004_001M,  B04004_001MA",B04004
People Reporting Multiple Ancestry,"B04005_001EA,  B04005_001M,  B04005_001MA",B04005
People Reporting Ancestry,"B04006_001EA,  B04006_001M,  B04006_001MA",B04006
Ancestry,"B04007_001EA,  B04007_001M,  B04007_001MA",B04007
Nativity and Citizenship Status in the United States,"B05001_001EA,  B05001_001M,  B05001_001MA",B05001
Nativity and Citizenship Status in Puerto Rico,"B05001PR_001EA,  B05001PR_001M,  B05001PR_001MA",B05001PR
Place of Birth by Nativity and Citizenship Status,"B05002_001EA,  B05002_001M,  B05002_001MA",B05002
Sex by Age by Nativity and Citizenship Status,"B05003_001EA,  B05003_001M,  B05003_001MA",B05003
Sex by Age by Nativity and Citizenship Status (White Alone),"B05003A_001EA,  B05003A_001M,  B05003A_001MA",B05003A
Sex by Age by Nativity and Citizenship Status (Black or African American Alone),"B05003B_001EA,  B05003B_001M,  B05003B_001MA",B05003B
Sex by Age by Nativity and Citizenship Status (American Indian and Alaska Native Alone),"B05003C_001EA,  B05003C_001M,  B05003C_001MA",B05003C
Sex by Age by Nativity and Citizenship Status (Asian Alone),"B05003D_001EA,  B05003D_001M,  B05003D_001MA",B05003D
Sex by Age by Nativity and Citizenship Status (Native Hawaiian and Other Pacific Islander Alone),"B05003E_001EA,  B05003E_001M,  B05003E_001MA",B05003E
Sex by Age by Nativity and Citizenship Status (Some Other Race Alone),"B05003F_001EA,  B05003F_001M,  B05003F_001MA",B05003F
Sex by Age by Nativity and Citizenship Status (Two or More Races),"B05003G_001EA,  B05003G_001M,  B05003G_001MA",B05003G
"Sex by Age by Nativity and Citizenship Status (White Alone, Not Hispanic or Latino)","B05003H_001EA,  B05003H_001M,  B05003H_001MA",B05003H
Sex by Age by Nativity and Citizenship Status (Hispanic or Latino),"B05003I_001EA,  B05003I_001M,  B05003I_001MA",B05003I
Median Age by Nativity and Citizenship Status by Sex,"B05004_001EA,  B05004_001M,  B05004_001MA",B05004
Period of Entry by Nativity and Citizenship Status in the United States,"B05005_001EA,  B05005_001M,  B05005_001MA",B05005
Period of Entry by Nativity and Citizenship Status in Puerto Rico,"B05005PR_001EA,  B05005PR_001M,  B05005PR_001MA",B05005PR
Place of Birth for the Foreign-Born Population in the United States,"B05006_001EA,  B05006_001M,  B05006_001MA",B05006
Place of Birth for the Foreign-Born Population in Puerto Rico,"B05006PR_001EA,  B05006PR_001M,  B05006PR_001MA",B05006PR
Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,"B05007_001EA,  B05007_001M,  B05007_001MA",B05007
Sex by Place of Birth by Year of Entry for the Foreign-Born Population,"B05008_001EA,  B05008_001M,  B05008_001MA",B05008
Age and Nativity of Own Children Under 18 Years in Families and Subfamilies by Number and Nativity of Parents,"B05009_001EA,  B05009_001M,  B05009_001MA",B05009
Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Living Arrangements and Nativity of Parents,"B05010_001EA,  B05010_001M,  B05010_001MA",B05010
Period of Naturalization,"B05011_001EA,  B05011_001M,  B05011_001MA",B05011
Nativity in the United States,"B05012_001EA,  B05012_001M,  B05012_001MA",B05012
Nativity in Puerto Rico,"B05012PR_001EA,  B05012PR_001M,  B05012PR_001MA",B05012PR
Sex by Age for the Foreign-Born Population,"B05013_001EA,  B05013_001M,  B05013_001MA",B05013
Sex by Age for the Foreign-Born Population,"B05014_001EA,  B05014_001M,  B05014_001MA",B05014
Place of Birth by Year of Entry for the Foreign-Born Population,"B05015_001EA,  B05015_001M,  B05015_001MA",B05015
Place of Birth by Age in the United States,"B06001_001EA,  B06001_001M,  B06001_001MA",B06001
Place of Birth by Age in Puerto Rico,"B06001PR_001EA,  B06001PR_001M,  B06001PR_001MA",B06001PR
Median Age by Place of Birth in the United States,"B06002_001EA,  B06002_001M,  B06002_001MA",B06002
Median Age by Place of Birth in Puerto Rico,"B06002PR_001EA,  B06002PR_001M,  B06002PR_001MA",B06002PR
Place of Birth by Sex in the United States,"B06003_001EA,  B06003_001M,  B06003_001MA",B06003
Place of Birth by Sex in Puerto Rico,"B06003PR_001EA,  B06003PR_001M,  B06003PR_001MA",B06003PR
Place of Birth (White Alone) in the United States,"B06004A_001EA,  B06004A_001M,  B06004A_001MA",B06004A
Place of Birth (White Alone) in Puerto Rico,"B06004APR_001EA,  B06004APR_001M,  B06004APR_001MA",B06004APR
Place of Birth (Black or African American Alone) in the United States,"B06004B_001EA,  B06004B_001M,  B06004B_001MA",B06004B
Place of Birth (Black or African American Alone) in Puerto Rico,"B06004BPR_001EA,  B06004BPR_001M,  B06004BPR_001MA",B06004BPR
Place of Birth (American Indian and Alaska Native Alone) in the United States,"B06004C_001EA,  B06004C_001M,  B06004C_001MA",B06004C
Place of Birth (American Indian and Alaska Native Alone) in Puerto Rico,"B06004CPR_001EA,  B06004CPR_001M,  B06004CPR_001MA",B06004CPR
Place of Birth (Asian Alone) in the United States,"B06004D_001EA,  B06004D_001M,  B06004D_001MA",B06004D
Place of Birth (Asian Alone) in Puerto Rico,"B06004DPR_001EA,  B06004DPR_001M,  B06004DPR_001MA",B06004DPR
Place of Birth (Native Hawaiian and Other Pacific Islander Alone) in the United States,"B06004E_001EA,  B06004E_001M,  B06004E_001MA",B06004E
Place of Birth (Native Hawaiian and Other Pacific Islander Alone) in Puerto Rico,"B06004EPR_001EA,  B06004EPR_001M,  B06004EPR_001MA",B06004EPR
Place of Birth (Some Other Race Alone) in the United States,"B06004F_001EA,  B06004F_001M,  B06004F_001MA",B06004F
Place of Birth (Some Other Race Alone) in Puerto Rico,"B06004FPR_001EA,  B06004FPR_001M,  B06004FPR_001MA",B06004FPR
Place of Birth (Two or More Races) in the United States,"B06004G_001EA,  B06004G_001M,  B06004G_001MA",B06004G
Place of Birth (Two or More Races) in Puerto Rico,"B06004GPR_001EA,  B06004GPR_001M,  B06004GPR_001MA",B06004GPR
"Place of Birth (White Alone, Not Hispanic or Latino) in the United States","B06004H_001EA,  B06004H_001M,  B06004H_001MA",B06004H
"Place of Birth (White Alone, Not Hispanic or Latino) in Puerto Rico","B06004HPR_001EA,  B06004HPR_001M,  B06004HPR_001MA",B06004HPR
Place of Birth (Hispanic or Latino) in the United States,"B06004I_001EA,  B06004I_001M,  B06004I_001MA",B06004I
Place of Birth (Hispanic or Latino) in Puerto Rico,"B06004IPR_001EA,  B06004IPR_001M,  B06004IPR_001MA",B06004IPR
Place of Birth by Language Spoken at Home and Ability to Speak English in the United States,"B06007_001EA,  B06007_001M,  B06007_001MA",B06007
Place of Birth by Language Spoken at Home and Ability to Speak English in Puerto Rico,"B06007PR_001EA,  B06007PR_001M,  B06007PR_001MA",B06007PR
Place of Birth by Marital Status in the United States,"B06008_001EA,  B06008_001M,  B06008_001MA",B06008
Place of Birth by Marital Status in Puerto Rico,"B06008PR_001EA,  B06008PR_001M,  B06008PR_001MA",B06008PR
Place of Birth by Educational Attainment in the United States,"B06009_001EA,  B06009_001M,  B06009_001MA",B06009
Place of Birth by Educational Attainment in Puerto Rico,"B06009PR_001EA,  B06009PR_001M,  B06009PR_001MA",B06009PR
Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) in the United States,"B06010_001EA,  B06010_001M,  B06010_001MA",B06010
Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) in Puerto Rico,"B06010PR_001EA,  B06010PR_001M,  B06010PR_001MA",B06010PR
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Place of Birth in the United States,"B06011_001EA,  B06011_001M,  B06011_001MA",B06011
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Place of Birth in Puerto Rico,"B06011PR_001EA,  B06011PR_001M,  B06011PR_001MA",B06011PR
Place of Birth by Poverty Status in the Past 12 Months in the United States,"B06012_001EA,  B06012_001M,  B06012_001MA",B06012
Place of Birth by Poverty Status in the Past 12 Months in Puerto Rico,"B06012PR_001EA,  B06012PR_001M,  B06012PR_001MA",B06012PR
Geographical Mobility in the Past Year by Age for Current Residence in the United States,"B07001_001EA,  B07001_001M,  B07001_001MA",B07001
Geographical Mobility in the Past Year by Age for Current Residence in Puerto Rico,"B07001PR_001EA,  B07001PR_001M,  B07001PR_001MA",B07001PR
Median Age by Geographical Mobility in the Past Year for Current Residence in the United States,"B07002_001EA,  B07002_001M,  B07002_001MA",B07002
