NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Autauga County, Alabama",01,001,58761,28663
"Baldwin County, Alabama",01,003,233420,114077
"Barbour County, Alabama",01,005,24877,12973
"Bibb County, Alabama",01,007,22251,11897
"Blount County, Alabama",01,009,59077,29864
"Bullock County, Alabama",01,011,10328,5542
"Butler County, Alabama",01,013,18981,8928
"Calhoun County, Alabama",01,015,116162,56185
"Chambers County, Alabama",01,017,34612,16485
"Cherokee County, Alabama",01,019,25069,12261
"Chilton County, Alabama",01,021,45140,22048
"Choctaw County, Alabama",01,023,12669,5980
"Clarke County, Alabama",01,025,23058,11032
"Clay County, Alabama",01,027,14209,6931
"Cleburne County, Alabama",01,029,15144,7565
"Coffee County, Alabama",01,031,53559,26626
"Colbert County, Alabama",01,033,57270,27911
"Conecuh County, Alabama",01,035,11576,5639
"Coosa County, Alabama",01,037,10329,5306
"Covington County, Alabama",01,039,37542,18243
"Crenshaw County, Alabama",01,041,13205,6451
"Cullman County, Alabama",01,043,88284,43820
"Dale County, Alabama",01,045,49455,24461
"Dallas County, Alabama",01,047,38326,17895
"DeKalb County, Alabama",01,049,71680,35847
"Elmore County, Alabama",01,051,87694,42743
"Escambia County, Alabama",01,053,36755,18476
"Etowah County, Alabama",01,055,103348,50134
"Fayette County, Alabama",01,057,16297,7997
"Franklin County, Alabama",01,059,32011,16071
"Geneva County, Alabama",01,061,26647,13037
"Greene County, Alabama",01,063,7706,3707
"Hale County, Alabama",01,065,14742,7020
"Henry County, Alabama",01,067,17282,8303
"Houston County, Alabama",01,069,107040,51565
"Jackson County, Alabama",01,071,52618,25883
"Jefferson County, Alabama",01,073,672265,319713
"Lamar County, Alabama",01,075,13885,6930
"Lauderdale County, Alabama",01,077,94329,45493
"Lawrence County, Alabama",01,079,33116,16299
"Lee County, Alabama",01,081,175126,86692
"Limestone County, Alabama",01,083,104199,52385
"Lowndes County, Alabama",01,085,10153,4842
"Macon County, Alabama",01,087,19198,8865
"Madison County, Alabama",01,089,389781,191913
"Marengo County, Alabama",01,091,19180,9100
"Marion County, Alabama",01,093,29203,14510
"Marshall County, Alabama",01,095,97923,48686
"Mobile County, Alabama",01,097,413878,198642
"Monroe County, Alabama",01,099,19816,9758
"Montgomery County, Alabama",01,101,228132,107680
"Morgan County, Alabama",01,103,123102,60953
"Perry County, Alabama",01,105,8479,3912
"Pickens County, Alabama",01,107,18925,9149
"Pike County, Alabama",01,109,32997,15843
"Randolph County, Alabama",01,111,22179,10787
"Russell County, Alabama",01,113,58849,28125
"St. Clair County, Alabama",01,115,91719,45680
"Shelby County, Alabama",01,117,223916,109226
"Sumter County, Alabama",01,119,12196,5586
"Talladega County, Alabama",01,121,81105,39386
"Tallapoosa County, Alabama",01,123,41251,20025
"Tuscaloosa County, Alabama",01,125,231558,111807
"Walker County, Alabama",01,127,64978,32122
"Washington County, Alabama",01,129,15434,7664
"Wilcox County, Alabama",01,131,10441,4892
"Winston County, Alabama",01,133,23655,11764
"Aleutians East Borough, Alaska",02,013,3407,2102
"Aleutians West Census Area, Alaska",02,016,5219,3484
"Anchorage Municipality, Alaska",02,020,290674,149144
"Bethel Census Area, Alaska",02,050,18538,9909
"Bristol Bay Borough, Alaska",02,060,854,489
"Chugach Census Area, Alaska",02,063,7000,3717
"Copper River Census Area, Alaska",02,066,2614,1388
"Denali Borough, Alaska",02,068,2101,1417
"Dillingham Census Area, Alaska",02,070,4854,2492
"Fairbanks North Star Borough, Alaska",02,090,96299,52279
"Haines Borough, Alaska",02,100,2079,1079
"Hoonah-Angoon Census Area, Alaska",02,105,2329,1300
"Juneau City and Borough, Alaska",02,110,32108,16461
"Kenai Peninsula Borough, Alaska",02,122,59235,31086
"Ketchikan Gateway Borough, Alaska",02,130,13910,7232
"Kodiak Island Borough, Alaska",02,150,13065,6991
"Kusilvak Census Area, Alaska",02,158,8372,4576
"Lake and Peninsula Borough, Alaska",02,164,999,508
"Matanuska-Susitna Borough, Alaska",02,170,108661,56811
"Nome Census Area, Alaska",02,180,10018,5237
"North Slope Borough, Alaska",02,185,10924,6766
"Northwest Arctic Borough, Alaska",02,188,7682,4105
"Petersburg Borough, Alaska",02,195,3374,1655
"Prince of Wales-Hyder Census Area, Alaska",02,198,5799,3223
"Sitka City and Borough, Alaska",02,220,8462,4420
"Skagway Municipality, Alaska",02,230,1303,537
"Southeast Fairbanks Census Area, Alaska",02,240,6888,3912
"Wrangell City and Borough, Alaska",02,275,2134,1136
"Yakutat City and Borough, Alaska",02,282,564,352
"Yukon-Koyukuk Census Area, Alaska",02,290,5355,2841
"Apache County, Arizona",04,001,66054,32843
"Cochise County, Arizona",04,003,125504,64221
"Coconino County, Arizona",04,005,144705,71707
"Gila County, Arizona",04,007,53419,26688
"Graham County, Arizona",04,009,38453,20530
"Greenlee County, Arizona",04,011,9483,5027
