MATRIC#,SEASON,SURVEY_SCORE,MATRICYR
3125,W,74.0%,21
592,W,65.0%,21
2928,W,71.0%,21
389,W,62.0%,21
353,W,58.0%,21
706,W,87.0%,21
1500,W,74.0%,21
3027,W,73.0%,21
355,W,80.0%,21
3483,W,62.0%,21
3435,W,51.0%,21
2617,W,56.0%,21
2877,W,60.0%,21
1524,W,53.0%,21
2555,W,83.0%,21
633,W,45.0%,21
343,W,56.0%,21
750,W,64.0%,21
2072,W,52.0%,21
586,W,66.0%,21
2322,W,64.0%,21
397,W,64.0%,21
2274,W,56.0%,21
3375,W,61.0%,21
2094,W,60.0%,21
150,W,63.0%,21
3386,W,62.0%,21
2532,W,54.0%,21
3196,W,58.0%,21
2755,W,60.0%,21
3293,W,80.0%,21
2129,W,67.0%,21
2408,W,47.0%,21
3507,W,79.0%,21
493,W,53.0%,21
3439,W,55.0%,21
2901,W,61.0%,21
2282,W,49.0%,21
1172,W,72.0%,21
3176,W,78.0%,21
45,W,62.0%,21
1329,W,64.0%,21
192,W,68.0%,21
1330,W,64.0%,21
190,W,61.0%,21
2246,W,57.0%,21
469,W,72.0%,21
561,W,68.0%,21
132,W,69.0%,21
2382,W,45.0%,21
923,W,57.0%,21
1214,W,59.0%,21
1222,W,50.0%,21
120,W,51.0%,21
1293,W,57.0%,21
1259,W,49.0%,21
2739,W,69.0%,21
2451,W,62.0%,21
309,W,45.0%,21
3649,W,77.0%,21
3025,W,63.0%,21
1443,W,65.0%,21
1701,W,73.0%,21
632,W,63.0%,21
1247,W,59.0%,21
235,W,54.0%,21
1914,W,58.0%,21
3453,W,73.0%,21
2844,W,59.0%,21
2808,W,58.0%,21
1943,W,67.0%,21
3187,W,60.0%,21
1153,W,62.0%,21
840,W,74.0%,21
1971,W,63.0%,21
1093,W,62.0%,21
84,W,77.0%,21
2579,W,50.0%,21
2295,W,67.0%,21
3384,W,66.0%,21
3560,W,66.0%,21
2472,W,63.0%,21
3625,W,65.0%,21
2199,W,43.0%,21
1696,W,67.0%,21
2707,W,73.0%,21
1174,W,79.0%,21
2041,W,72.0%,21
601,W,57.0%,21
3226,W,65.0%,21
2756,W,69.0%,21
3461,W,62.0%,21
3072,W,74.0%,21
1927,W,64.0%,21
2534,W,56.0%,21
818,W,58.0%,21
2293,W,70.0%,21
894,W,69.0%,21
914,W,47.0%,21
1802,W,72.0%,21
846,W,58.0%,21
2864,W,85.0%,21
2402,W,59.0%,21
2616,W,58.0%,21
1236,W,58.0%,21
3307,W,77.0%,21
1375,W,45.0%,21
2727,W,59.0%,21
2799,W,70.0%,21
1077,W,51.0%,21
2308,W,53.0%,21
762,W,59.0%,21
3023,W,66.0%,21
507,W,57.0%,21
203,W,66.0%,21
2507,W,79.0%,21
3109,W,51.0%,21
2740,W,77.0%,21
1937,W,48.0%,21
1984,W,72.0%,21
1274,W,90.0%,21
3484,W,59.0%,21
1853,W,60.0%,21
113,W,60.0%,21
222,W,53.0%,21
983,W,49.0%,21
1011,W,47.0%,21
672,W,70.0%,21
2836,W,66.0%,21
2640,W,65.0%,21
1224,W,62.0%,21
2428,W,45.0%,21
2600,W,71.0%,21
1036,W,69.0%,21
1342,W,47.0%,21
1606,W,59.0%,21
1237,W,68.0%,21
3263,W,58.0%,21
1981,W,61.0%,21
3151,W,76.0%,21
327,W,67.0%,21
1646,W,54.0%,21
1404,W,63.0%,21
2736,W,56.0%,21
3028,W,64.0%,21
1356,W,81.0%,21
2576,W,67.0%,21
693,W,71.0%,21
900,W,71.0%,21
2850,W,62.0%,21
1892,W,65.0%,21
157,W,62.0%,21
224,W,64.0%,21
2426,W,68.0%,21
266,W,57.0%,21
1354,W,68.0%,21
517,W,53.0%,21
591,W,49.0%,21
2637,W,79.0%,21
384,W,55.0%,21
2176,W,70.0%,21
1176,W,74.0%,21
1738,W,66.0%,21
593,W,57.0%,21
2817,W,84.0%,21
1985,W,52.0%,21
2831,W,54.0%,21
1073,W,53.0%,21
1292,W,82.0%,21
2730,W,83.0%,21
2649,W,56.0%,21
1544,W,72.0%,21
1284,W,86.0%,21
595,W,57.0%,21
2575,W,70.0%,21
3539,W,58.0%,21
2999,W,67.0%,21
1032,W,61.0%,21
253,W,52.0%,21
1409,W,72.0%,21
2225,W,87.0%,21
363,W,70.0%,21
3097,W,62.0%,21
862,W,73.0%,21
3647,W,50.0%,21
3173,W,57.0%,21
685,W,69.0%,21
510,W,77.0%,21
1618,W,82.0%,21
2324,W,75.0%,21
1622,W,53.0%,21
2599,W,63.0%,21
1635,W,54.0%,21
781,W,50.0%,21
2512,W,83.0%,21
963,W,62.0%,21
744,W,67.0%,21
96,W,75.0%,21
587,W,65.0%,21
3409,W,57.0%,21
1433,W,61.0%,21
1998,W,60.0%,21
1305,W,69.0%,21
2188,W,70.0%,21
3412,W,51.0%,21
1411,W,69.0%,21
2959,W,67.0%,21
889,W,82.0%,21
2891,W,42.0%,21
2033,W,58.0%,21
599,W,57.0%,21
3393,W,64.0%,21
2185,W,50.0%,21
3572,W,64.0%,21
718,W,72.0%,21
177,W,58.0%,21
3208,W,72.0%,21
2609,W,58.0%,21
1810,W,59.0%,21
3308,W,70.0%,21
85,W,72.0%,21
3473,W,63.0%,21
500,W,57.0%,21
709,W,66.0%,21
952,W,55.0%,21
3197,W,58.0%,21
1309,W,69.0%,21
3464,W,64.0%,21
