MATRIC#,SEASON,SURVEY_SCORE,MATRICYR
1745,W,58.0%,23
5300,W,64.0%,23
4482,W,51.0%,23
3394,W,70.0%,23
701,W,81.0%,23
2108,W,46.0%,23
4412,W,49.0%,23
3017,W,67.0%,23
761,W,67.0%,23
3391,W,48.0%,23
4546,W,46.0%,23
2280,W,63.0%,23
4837,W,61.0%,23
1922,W,64.0%,23
641,W,66.0%,23
1701,W,78.0%,23
1310,W,79.0%,23
642,W,56.0%,23
3338,W,62.0%,23
3468,W,67.0%,23
2104,W,62.0%,23
2365,W,66.0%,23
2838,W,67.0%,23
2549,W,66.0%,23
623,W,70.0%,23
5212,W,58.0%,23
4976,W,75.0%,23
1832,W,66.0%,23
115,W,59.0%,23
1356,W,76.0%,23
711,W,61.0%,23
2264,W,70.0%,23
2518,W,72.0%,23
1355,W,65.0%,23
1042,W,65.0%,23
5279,W,77.0%,23
3258,W,64.0%,23
123,W,47.0%,23
567,W,69.0%,23
3419,W,45.0%,23
4759,W,70.0%,23
3699,W,67.0%,23
1285,W,48.0%,23
4431,W,52.0%,23
4036,W,70.0%,23
1198,W,78.0%,23
3816,W,75.0%,23
1222,W,79.0%,23
2684,W,53.0%,23
1766,W,56.0%,23
3730,W,69.0%,23
4501,W,49.0%,23
4499,W,69.0%,23
695,W,68.0%,23
1453,W,69.0%,23
1438,W,44.0%,23
3570,W,59.0%,23
1592,W,60.0%,23
3738,W,76.0%,23
5112,W,46.0%,23
4374,W,65.0%,23
4327,W,61.0%,23
3676,W,60.0%,23
1371,W,68.0%,23
3877,W,76.0%,23
2593,W,52.0%,23
865,W,73.0%,23
5014,W,71.0%,23
1352,W,59.0%,23
3714,W,70.0%,23
5060,W,82.0%,23
4271,W,55.0%,23
247,W,53.0%,23
2998,W,45.0%,23
4204,W,75.0%,23
1635,W,56.0%,23
1809,W,40.0%,23
4476,W,62.0%,23
1013,W,51.0%,23
3085,W,76.0%,23
3350,W,65.0%,23
478,W,71.0%,23
3999,W,74.0%,23
4302,W,64.0%,23
3358,W,75.0%,23
3871,W,74.0%,23
1992,W,64.0%,23
4207,W,67.0%,23
4544,W,76.0%,23
752,W,77.0%,23
307,W,64.0%,23
36,W,69.0%,23
626,W,61.0%,23
4950,W,64.0%,23
1289,W,53.0%,23
2992,W,79.0%,23
4665,W,50.0%,23
5354,W,61.0%,23
4146,W,83.0%,23
796,W,58.0%,23
1680,W,77.0%,23
2124,W,62.0%,23
220,W,69.0%,23
2516,W,64.0%,23
4868,W,66.0%,23
1120,W,53.0%,23
3142,W,83.0%,23
2771,W,55.0%,23
2547,W,45.0%,23
1183,W,62.0%,23
2010,W,68.0%,23
2127,W,62.0%,23
3559,W,62.0%,23
2420,W,61.0%,23
4098,W,55.0%,23
5432,W,63.0%,23
5108,W,57.0%,23
205,W,55.0%,23
1448,W,62.0%,23
2999,W,72.0%,23
1274,W,60.0%,23
4834,W,53.0%,23
5222,W,57.0%,23
1101,W,76.0%,23
3424,W,68.0%,23
682,W,70.0%,23
4895,W,46.0%,23
94,W,73.0%,23
2036,W,64.0%,23
1630,W,68.0%,23
4319,W,47.0%,23
518,W,59.0%,23
3472,W,69.0%,23
4693,W,65.0%,23
4298,W,56.0%,23
3622,W,77.0%,23
2187,W,73.0%,23
3624,W,58.0%,23
3164,W,49.0%,23
3060,W,58.0%,23
4954,W,51.0%,23
2248,W,62.0%,23
1099,W,85.0%,23
3074,W,80.0%,23
3979,W,70.0%,23
2934,W,85.0%,23
355,W,65.0%,23
3880,W,53.0%,23
4787,W,75.0%,23
5070,W,58.0%,23
474,W,61.0%,23
272,W,68.0%,23
2693,W,69.0%,23
1685,W,68.0%,23
4226,W,68.0%,23
3053,W,37.0%,23
1302,W,59.0%,23
4945,W,64.0%,23
579,W,70.0%,23
1682,W,65.0%,23
1677,W,59.0%,23
4325,W,66.0%,23
2473,W,66.0%,23
1287,W,68.0%,23
1987,W,72.0%,23
1618,W,63.0%,23
2562,W,64.0%,23
1776,W,73.0%,23
996,W,58.0%,23
4269,W,56.0%,23
4681,W,71.0%,23
4948,W,62.0%,23
4930,W,63.0%,23
1365,W,46.0%,23
1984,W,66.0%,23
2,W,73.0%,23
583,W,65.0%,23
4825,W,69.0%,23
3887,W,75.0%,23
3952,W,86.0%,23
4311,W,59.0%,23
951,W,63.0%,23
760,W,53.0%,23
1075,W,68.0%,23
3006,W,89.0%,23
2375,W,75.0%,23
1046,W,51.0%,23
3276,W,51.0%,23
683,W,61.0%,23
65,W,65.0%,23
248,W,80.0%,23
2497,W,49.0%,23
87,W,76.0%,23
43,W,55.0%,23
3580,W,65.0%,23
5353,W,58.0%,23
3440,W,67.0%,23
4887,W,64.0%,23
1476,W,75.0%,23
2842,W,53.0%,23
791,W,62.0%,23
1703,W,71.0%,23
1005,W,61.0%,23
3506,W,57.0%,23
4001,W,67.0%,23
411,W,75.0%,23
1129,W,72.0%,23
4515,W,64.0%,23
5420,W,57.0%,23
2356,W,71.0%,23
5370,W,47.0%,23
811,W,81.0%,23
3547,W,58.0%,23
4200,W,48.0%,23
4117,W,69.0%,23
4989,W,53.0%,23
1315,W,71.0%,23
2574,W,69.0%,23
4084,W,63.0%,23
3689,W,62.0%,23
4181,W,70.0%,23
5224,W,50.0%,23
4188,W,57.0%,23
2157,W,74.0%,23
4290,W,52.0%,23
514,W,57.0%,23
278,W,41.0%,23
3767,W,74.0%,23
2867,W,47.0%,23
4043,W,57.0%,23
2291,W,55.0%,23
1460,W,74.0%,23
2728,W,56.0%,23
4135,W,66.0%,23
2385,W,82.0%,23
5223,W,70.0%,23
2594,W,82.0%,23
2184,W,80.0%,23
4836,W,52.0%,23
5423,W,62.0%,23
829,W,46.0%,23
1301,W,53.0%,23
970,W,55.0%,23
830,W,64.0%,23
1512,W,65.0%,23
2510,W,67.0%,23
1719,W,56.0%,23
3097,W,61.0%,23
2916,W,53.0%,23
4174,W,89.0%,23
2712,W,56.0%,23
4122,W,83.0%,23
3299,W,69.0%,23
894,W,66.0%,23
2134,W,54.0%,23
4932,W,81.0%,23
4746,W,70.0%,23
4657,W,43.0%,23
2170,W,62.0%,23
3653,W,59.0%,23
2043,W,55.0%,23
3432,W,56.0%,23
3379,W,69.0%,23
64,W,60.0%,23
2478,W,50.0%,23
3199,W,63.0%,23
638,W,73.0%,23
3194,W,71.0%,23
5332,W,51.0%,23
1397,W,62.0%,23
3399,W,66.0%,23
2903,W,71.0%,23
2543,W,50.0%,23
1087,W,83.0%,23
3929,W,71.0%,23
5408,W,58.0%,23
2631,W,60.0%,23
3810,W,80.0%,23
2959,W,69.0%,23
942,W,66.0%,23
3282,W,56.0%,23
4166,W,76.0%,23
4805,W,61.0%,23
4324,W,69.0%,23
397,W,70.0%,23
5197,W,54.0%,23
3632,W,66.0%,23
4270,W,56.0%,23
358,W,65.0%,23
5345,W,53.0%,23
1878,W,46.0%,23
3200,W,53.0%,23
2224,W,77.0%,23
738,W,60.0%,23
4099,W,56.0%,23
4881,W,31.0%,23
2142,W,57.0%,23
2335,W,62.0%,23
3317,W,57.0%,23
3076,W,47.0%,23
3859,W,52.0%,23
4279,W,72.0%,23
1765,W,62.0%,23
2581,W,81.0%,23
3803,W,83.0%,23
4939,W,61.0%,23
2904,W,69.0%,23
3554,W,60.0%,23
816,W,71.0%,23
5052,W,53.0%,23
3642,W,73.0%,23
2259,W,69.0%,23
4845,W,79.0%,23
1974,W,65.0%,23
5406,W,53.0%,23
586,W,65.0%,23
4889,W,56.0%,23
5344,W,62.0%,23
734,W,75.0%,23
4463,W,72.0%,23
4920,W,59.0%,23
3103,W,55.0%,23
4326,W,60.0%,23
1387,W,67.0%,23
4584,W,69.0%,23
1297,W,57.0%,23
3831,W,51.0%,23
2444,W,48.0%,23
2784,W,67.0%,23
1789,W,72.0%,23
899,W,82.0%,23
1172,W,68.0%,23
3400,W,41.0%,23
2500,W,67.0%,23
522,W,62.0%,23
2120,W,43.0%,23
963,W,67.0%,23
3915,W,51.0%,23
5040,W,82.0%,23
2452,W,38.0%,23
2994,W,56.0%,23
3025,W,60.0%,23
2778,W,89.0%,23
1179,W,59.0%,23
2820,W,50.0%,23
971,W,62.0%,23
2431,W,67.0%,23
3302,W,63.0%,23
2132,W,73.0%,23
3998,W,64.0%,23
2398,W,63.0%,23
1192,W,72.0%,23
4663,W,44.0%,23
2072,W,79.0%,23
2583,W,46.0%,23
1492,W,63.0%,23
238,W,87.0%,23
2941,W,66.0%,23
1367,W,68.0%,23
4246,W,53.0%,23
4615,W,67.0%,23
3521,W,77.0%,23
2417,W,63.0%,23
1515,W,67.0%,23
4423,W,82.0%,23
3377,W,39.0%,23
1955,W,64.0%,23
3050,W,37.0%,23
2453,W,63.0%,23
2565,W,68.0%,23
904,W,73.0%,23
2191,W,88.0%,23
1481,W,66.0%,23
1380,W,69.0%,23
3995,W,60.0%,23
4798,W,53.0%,23
3247,W,69.0%,23
2553,W,73.0%,23
4734,W,78.0%,23
4025,W,72.0%,23
5205,W,78.0%,23
2714,W,51.0%,23
3743,W,48.0%,23
2756,W,60.0%,23
475,W,56.0%,23
622,W,62.0%,23
2720,W,56.0%,23
3202,W,69.0%,23
2459,W,68.0%,23
4997,W,66.0%,23
4365,W,58.0%,23
3681,W,55.0%,23
4268,W,54.0%,23
4640,W,61.0%,23
3798,W,74.0%,23
3997,W,43.0%,23
459,W,49.0%,23
3927,W,45.0%,23
4239,W,57.0%,23
3389,W,67.0%,23
4221,W,76.0%,23
3141,W,61.0%,23
1246,W,55.0%,23
3822,W,88.0%,23
568,W,43.0%,23
3445,W,56.0%,23
4312,W,74.0%,23
1296,W,64.0%,23
3809,W,67.0%,23
277,W,64.0%,23
4274,W,65.0%,23
2168,W,59.0%,23
89,W,67.0%,23
3596,W,49.0%,23
5350,W,41.0%,23
3665,W,78.0%,23
4479,W,65.0%,23
1954,W,59.0%,23
4773,W,73.0%,23
1936,W,73.0%,23
2973,W,63.0%,23
326,W,48.0%,23
1351,W,82.0%,23
3436,W,69.0%,23
931,W,88.0%,23
2257,W,65.0%,23
2435,W,60.0%,23
4855,W,66.0%,23
667,W,73.0%,23
2900,W,82.0%,23
3139,W,69.0%,23
1497,W,56.0%,23
852,W,74.0%,23
3841,W,71.0%,23
1914,W,67.0%,23
2660,W,59.0%,23
3844,W,69.0%,23
3511,W,70.0%,23
1185,W,69.0%,23
2881,W,74.0%,23
2332,W,81.0%,23
4053,W,43.0%,23
318,W,65.0%,23
1197,W,51.0%,23
3808,W,63.0%,23
8,W,61.0%,23
5235,W,81.0%,23
155,W,64.0%,23
3977,W,47.0%,23
831,W,72.0%,23
4470,W,57.0%,23
1009,W,39.0%,23
4173,W,80.0%,23
652,W,74.0%,23
2748,W,84.0%,23
4024,W,65.0%,23
620,W,53.0%,23
5172,W,60.0%,23
2345,W,59.0%,23
1686,W,70.0%,23
2461,W,65.0%,23
1855,W,61.0%,23
1391,W,66.0%,23
2156,W,51.0%,23
4916,W,54.0%,23
1392,W,65.0%,23
2885,W,79.0%,23
5183,W,64.0%,23
3520,W,58.0%,23
5122,W,91.0%,23
324,W,64.0%,23
3603,W,73.0%,23
35,W,65.0%,23
4926,W,93.0%,23
1363,W,50.0%,23
4780,W,59.0%,23
3656,W,67.0%,23
817,W,69.0%,23
1859,W,67.0%,23
1596,W,40.0%,23
473,W,58.0%,23
84,W,54.0%,23
3259,W,50.0%,23
3682,W,64.0%,23
2616,W,53.0%,23
4835,W,67.0%,23
576,W,80.0%,23
2524,W,77.0%,23
79,W,51.0%,23
202,W,50.0%,23
2396,W,67.0%,23
3123,W,69.0%,23
2688,W,68.0%,23
449,W,70.0%,23
416,W,65.0%,23
3346,W,70.0%,23
1146,W,62.0%,23
1944,W,62.0%,23
2380,W,75.0%,23
5236,W,79.0%,23
2327,W,58.0%,23
3297,W,71.0%,23
1725,W,67.0%,23
588,W,46.0%,23
1964,W,50.0%,23
3771,W,62.0%,23
2262,W,63.0%,23
2830,W,58.0%,23
4211,W,42.0%,23
4706,W,47.0%,23
1601,W,59.0%,23
5295,W,60.0%,23
2238,W,63.0%,23
3245,W,76.0%,23
3345,W,68.0%,23
1150,W,74.0%,23
2876,W,58.0%,23
4931,W,65.0%,23
2514,W,79.0%,23
3439,W,54.0%,23
2824,W,70.0%,23
1655,W,79.0%,23
1573,W,54.0%,23
3337,W,45.0%,23
2082,W,62.0%,23
4814,W,73.0%,23
2483,W,63.0%,23
5388,W,60.0%,23
3611,W,75.0%,23
1036,W,65.0%,23
2040,W,46.0%,23
4521,W,63.0%,23
1863,W,75.0%,23
3318,W,64.0%,23
708,W,57.0%,23
336,W,70.0%,23
2002,W,70.0%,23
5216,W,59.0%,23
3769,W,69.0%,23
1975,W,53.0%,23
1531,W,53.0%,23
717,W,50.0%,23
5333,W,57.0%,23
4578,W,57.0%,23
4762,W,63.0%,23
1227,W,41.0%,23
1050,W,62.0%,23
3507,W,64.0%,23
950,W,65.0%,23
3972,W,75.0%,23
5125,W,64.0%,23
4294,W,55.0%,23
3301,W,59.0%,23
3323,W,76.0%,23
1061,W,66.0%,23
539,W,42.0%,23
3124,W,47.0%,23
1642,W,66.0%,23
2250,W,79.0%,23
4015,W,63.0%,23
1864,W,83.0%,23
3891,W,96.0%,23
1988,W,68.0%,23
1610,W,78.0%,23
557,W,75.0%,23
1058,W,59.0%,23
3442,W,77.0%,23
2609,W,60.0%,23
1519,W,75.0%,23
2551,W,56.0%,23
1593,W,76.0%,23
5048,W,66.0%,23
5346,W,47.0%,23
2151,W,83.0%,23
1612,W,87.0%,23
235,W,65.0%,23
2061,W,68.0%,23
856,W,64.0%,23
1876,W,64.0%,23
698,W,67.0%,23
3160,W,69.0%,23
5343,W,84.0%,23
2529,W,73.0%,23
295,W,65.0%,23
1276,W,74.0%,23
1683,W,59.0%,23
347,W,58.0%,23
4054,W,45.0%,23
3305,W,72.0%,23
4398,W,64.0%,23
3005,W,66.0%,23
2243,W,71.0%,23
4489,W,86.0%,23
80,W,59.0%,23
2536,W,76.0%,23
3560,W,64.0%,23
809,W,58.0%,23
5232,W,47.0%,23
3,W,70.0%,23
1104,W,56.0%,23
430,W,73.0%,23
3088,W,76.0%,23
3393,W,48.0%,23
876,W,68.0%,23
4069,W,53.0%,23
3360,W,53.0%,23
3170,W,56.0%,23
4506,W,66.0%,23
3963,W,69.0%,23
1218,W,63.0%,23
4573,W,59.0%,23
2680,W,61.0%,23
4802,W,77.0%,23
424,W,59.0%,23
3965,W,59.0%,23
1409,W,53.0%,23
2242,W,66.0%,23
491,W,58.0%,23
4485,W,64.0%,23
3744,W,58.0%,23
600,W,69.0%,23
1609,W,67.0%,23
1662,W,50.0%,23
1142,W,73.0%,23
2136,W,55.0%,23
3526,W,69.0%,23
3243,W,67.0%,23
1119,W,74.0%,23
4413,W,51.0%,23
1411,W,51.0%,23
4876,W,71.0%,23
1872,W,72.0%,23
3610,W,64.0%,23
5186,W,57.0%,23
1413,W,70.0%,23
1599,W,45.0%,23
3776,W,73.0%,23
4102,W,73.0%,23
5405,W,59.0%,23
2389,W,81.0%,23
1684,W,74.0%,23
5280,W,65.0%,23
2094,W,60.0%,23
3715,W,79.0%,23
5015,W,55.0%,23
2232,W,55.0%,23
5303,W,70.0%,23
4904,W,55.0%,23
3214,W,61.0%,23
2659,W,84.0%,23
1670,W,62.0%,23
4396,W,67.0%,23
1161,W,54.0%,23
3600,W,58.0%,23
5327,W,38.0%,23
1581,W,63.0%,23
3990,W,61.0%,23
696,W,73.0%,23
3968,W,54.0%,23
4547,W,63.0%,23
848,W,65.0%,23
2118,W,57.0%,23
2074,W,66.0%,23
582,W,69.0%,23
821,W,60.0%,23
4386,W,70.0%,23
3922,W,60.0%,23
5340,W,66.0%,23
5178,W,59.0%,23
5416,W,59.0%,23
3524,W,72.0%,23
3847,W,62.0%,23
2651,W,64.0%,23
1779,W,70.0%,23
4839,W,57.0%,23
3153,W,47.0%,23
5399,W,68.0%,23
3573,W,63.0%,23
1469,W,70.0%,23
753,W,58.0%,23
2033,W,62.0%,23
1193,W,64.0%,23
4242,W,78.0%,23
922,W,60.0%,23
2655,W,59.0%,23
4049,W,77.0%,23
2137,W,68.0%,23
1415,W,64.0%,23
5367,W,47.0%,23
433,W,63.0%,23
2130,W,75.0%,23
2265,W,67.0%,23
822,W,57.0%,23
130,W,75.0%,23
1582,W,64.0%,23
2880,W,66.0%,23
133,W,52.0%,23
1896,W,64.0%,23
4048,W,62.0%,23
2337,W,72.0%,23
1326,W,58.0%,23
3980,W,83.0%,23
392,W,71.0%,23
1633,W,74.0%,23
2055,W,80.0%,23
5325,W,68.0%,23
1537,W,78.0%,23
1647,W,55.0%,23
5079,W,78.0%,23
441,W,80.0%,23
2489,W,59.0%,23
2425,W,66.0%,23
1187,W,50.0%,23
5013,W,64.0%,23
633,W,50.0%,23
3380,W,78.0%,23
4639,W,46.0%,23
1148,W,67.0%,23
3739,W,65.0%,23
4097,W,73.0%,23
1752,W,77.0%,23
4038,W,68.0%,23
907,W,82.0%,23
2439,W,57.0%,23
4812,W,62.0%,23
4435,W,81.0%,23
1724,W,56.0%,23
2558,W,58.0%,23
1373,W,63.0%,23
2114,W,68.0%,23
1634,W,67.0%,23
3048,W,62.0%,23
2969,W,67.0%,23
4908,W,64.0%,23
451,W,78.0%,23
5243,W,56.0%,23
4222,W,48.0%,23
1070,W,49.0%,23
5078,W,62.0%,23
4349,W,73.0%,23
1973,W,71.0%,23
2397,W,70.0%,23
1564,W,65.0%,23
3250,W,68.0%,23
4443,W,67.0%,23
3357,W,67.0%,23
5301,W,73.0%,23
10,W,65.0%,23
3592,W,65.0%,23
490,W,52.0%,23
3211,W,67.0%,23
3851,W,70.0%,23
3958,W,58.0%,23
671,W,55.0%,23
82,W,67.0%,23
2641,W,70.0%,23
4022,W,80.0%,23
512,W,54.0%,23
2957,W,68.0%,23
570,W,64.0%,23
419,W,56.0%,23
1966,W,86.0%,23
2161,W,64.0%,23
4612,W,72.0%,23
2088,W,62.0%,23
3928,W,35.0%,23
4451,W,81.0%,23
5225,W,66.0%,23
1108,W,63.0%,23
4190,W,81.0%,23
4938,W,65.0%,23
2283,W,68.0%,23
1114,W,62.0%,23
873,W,54.0%,23
1144,W,75.0%,23
96,W,52.0%,23
157,W,69.0%,23
2840,W,82.0%,23
3466,W,48.0%,23
440,W,76.0%,23
2367,W,56.0%,23
5126,W,62.0%,23
333,W,75.0%,23
3687,W,48.0%,23
189,W,80.0%,23
5240,W,57.0%,23
1664,W,54.0%,23
4972,W,77.0%,23
941,W,65.0%,23
3778,W,77.0%,23
4653,W,53.0%,23
4316,W,55.0%,23
4947,W,63.0%,23
3467,W,57.0%,23
258,W,69.0%,23
4699,W,52.0%,23
1569,W,63.0%,23
5233,W,63.0%,23
1888,W,89.0%,23
5151,W,67.0%,23
354,W,70.0%,23
1265,W,61.0%,23
4124,W,62.0%,23
3587,W,60.0%,23
2180,W,72.0%,23
5348,W,55.0%,23
1396,W,73.0%,23
1544,W,73.0%,23
434,W,48.0%,23
165,W,58.0%,23
3339,W,55.0%,23
4176,W,53.0%,23
3525,W,58.0%,23
1277,W,74.0%,23
5267,W,53.0%,23
1540,W,52.0%,23
2129,W,51.0%,23
178,W,63.0%,23
1029,W,53.0%,23
1901,W,59.0%,23
3185,W,70.0%,23
1590,W,61.0%,23
486,W,46.0%,23
1948,W,72.0%,23
2022,W,41.0%,23
140,W,78.0%,23
2256,W,72.0%,23
2316,W,61.0%,23
3753,W,56.0%,23
549,W,60.0%,23
4410,W,67.0%,23
2897,W,53.0%,23
3787,W,62.0%,23
4858,W,61.0%,23
1787,W,64.0%,23
2401,W,59.0%,23
1625,W,72.0%,23
3669,W,49.0%,23
1777,W,57.0%,23
4870,W,67.0%,23
5067,W,41.0%,23
173,W,58.0%,23
3351,W,69.0%,23
5433,W,58.0%,23
2001,W,52.0%,23
364,W,63.0%,23
5008,W,71.0%,23
779,W,61.0%,23
2561,W,67.0%,23
1133,W,56.0%,23
1134,W,68.0%,23
4661,W,68.0%,23
3331,W,66.0%,23
88,W,59.0%,23
1048,W,63.0%,23
60,W,75.0%,23
4990,W,83.0%,23
3812,W,59.0%,23
1931,W,64.0%,23
1889,W,64.0%,23
1496,W,72.0%,23
1008,W,52.0%,23
303,W,69.0%,23
3982,W,62.0%,23
4377,W,50.0%,23
1849,W,68.0%,23
5171,W,83.0%,23
1971,W,61.0%,23
2754,W,74.0%,23
3319,W,77.0%,23
4428,W,57.0%,23
3222,W,59.0%,23
787,W,76.0%,23
883,W,85.0%,23
2350,W,64.0%,23
798,W,77.0%,23
2523,W,58.0%,23
1152,W,53.0%,23
5352,W,59.0%,23
1690,W,89.0%,23
